k W
3.672823000000000060e-02 5.569116122158601821e-09
3.715352000000000238e-02 5.829474817464366442e-09
3.758373999999999743e-02 6.101953496666988927e-09
3.801894000000000107e-02 6.387113648412085580e-09
3.845918000000000253e-02 6.685541528427159953e-09
3.890451000000000326e-02 6.997848970666151239e-09
3.935501000000000277e-02 7.324678041724107788e-09
3.981072000000000083e-02 7.666699389780249934e-09
4.027170000000000055e-02 8.024613275028356860e-09
4.073803000000000146e-02 8.399153067314137231e-09
4.120975000000000332e-02 8.791085412342484207e-09
4.168693999999999872e-02 9.201210640264824634e-09
4.216965000000000297e-02 9.630367208248607478e-09
4.265795000000000003e-02 1.007943132923638670e-08
4.315191000000000165e-02 1.054931761639981785e-08
4.365158000000000232e-02 1.104098435780795488e-08
4.415704000000000157e-02 1.155543076892210631e-08
4.466835999999999723e-02 1.209370417608752434e-08
4.518558999999999770e-02 1.265689665692966233e-08
4.570881999999999723e-02 1.324615158930277324e-08
4.623809999999999726e-02 1.386266300650647521e-08
4.677350999999999731e-02 1.450767960000220895e-08
4.731512999999999691e-02 1.518250485799035579e-08
4.786300999999999750e-02 1.588850288466702239e-08
4.841724000000000028e-02 1.662709696743238893e-08
4.897788000000000141e-02 1.739977629287647620e-08
4.954502000000000211e-02 1.820809537275955008e-08
5.011871999999999855e-02 1.905368212481434899e-08
5.069906999999999886e-02 1.993823089314974884e-08
5.128614000000000089e-02 2.086351580507025510e-08
5.188000000000000250e-02 2.183139027457861466e-08
5.248074999999999962e-02 2.284379198193740867e-08
5.308844000000000063e-02 2.390273884811230700e-08
5.370318000000000314e-02 2.501034450940524134e-08
5.432503000000000332e-02 2.616880995957332096e-08
5.495408999999999711e-02 2.738044018127527364e-08
5.559043000000000317e-02 2.864764688035488176e-08
5.623413000000000023e-02 2.997293179857489475e-08
5.688528999999999808e-02 3.135891930989649358e-08
5.754399000000000319e-02 3.280834854321612914e-08
5.821032000000000289e-02 3.432407871044643793e-08
5.888436999999999838e-02 3.590908619276774003e-08
5.956621000000000138e-02 3.756649348324628768e-08
6.025595999999999730e-02 3.929954415819666567e-08
6.095368999999999787e-02 4.111163207340705783e-08
6.165949999999999903e-02 4.300629818632951741e-08
6.237348000000000198e-02 4.498723682636974416e-08
6.309573000000000265e-02 4.705829994070528487e-08
6.382635000000000391e-02 4.922350520116582076e-08
6.456541999999999837e-02 5.148705442445686589e-08
6.531306000000000611e-02 5.385332162899298735e-08
6.606934000000000418e-02 5.632686331586638608e-08
6.683438999999999353e-02 5.891244934191207466e-08
6.760829999999999618e-02 6.161502705792951451e-08
6.839116000000000639e-02 6.443978517845899031e-08
6.918309999999999738e-02 6.739211519785420999e-08
6.998419999999999641e-02 7.047764593109236477e-08
7.079457999999999585e-02 7.370223211014952929e-08
7.161433999999999855e-02 7.707198817502968353e-08
7.244359999999999689e-02 8.059328244469020917e-08
7.328244999999999898e-02 8.427274839107597404e-08
7.413102000000000580e-02 8.811729787795216402e-08
7.498942000000000108e-02 9.213412951421115113e-08
7.585775999999999630e-02 9.633075660885904081e-08
7.673615000000000297e-02 1.007149839927084033e-07
7.762470999999999954e-02 1.052949405151215367e-07
7.852356000000000613e-02 1.100791041669562647e-07
7.943282000000000120e-02 1.150762836340931774e-07
8.035261000000000486e-02 1.202956661447098749e-07
